,year,age_group,sex,value
464,1955,60 - 64 years,Female,59.6
465,1955,65 - 69 years,Both sexes,109.0
466,1955,65 - 69 years,Male,55.2
467,1955,65 - 69 years,Female,53.8
468,1955,65 years and over,Both sexes,317.7
469,1955,65 years and over,Male,155.8
470,1955,65 years and over,Female,161.9
471,1955,70 - 74 years,Both sexes,94.7
472,1955,70 - 74 years,Male,46.2
473,1955,70 - 74 years,Female,48.5
474,1955,75 - 79 years,Both sexes,65.9
475,1955,75 - 79 years,Male,32.3
476,1955,75 - 79 years,Female,33.6
477,1955,80 - 84 years,Both sexes,32.4
478,1955,80 - 84 years,Male,15.2
479,1955,80 - 84 years,Female,17.2
480,1955,85 years and over,Both sexes,15.7
481,1955,85 years and over,Male,6.9
482,1955,85 years and over,Female,8.8
483,1955,All ages,Both sexes,2920.9
484,1955,All ages,Male,1479.1
485,1955,All ages,Female,1441.8
486,1956,Under 1 year,Both sexes,58.9
487,1956,Under 1 year,Male,30.2
488,1956,Under 1 year,Female,28.7
489,1956,0 - 4 years,Both sexes,298.1
490,1956,0 - 4 years,Male,151.3
491,1956,0 - 4 years,Female,146.8
492,1956,0 - 14 years,Both sexes,870.8
493,1956,0 - 14 years,Male,443.2
494,1956,0 - 14 years,Female,427.6
495,1956,1 - 4 years,Both sexes,239.2
496,1956,1 - 4 years,Male,121.1
497,1956,1 - 4 years,Female,118.1
498,1956,5 - 9 years,Both sexes,296.1
499,1956,5 - 9 years,Male,151.6
500,1956,5 - 9 years,Female,144.5
501,1956,10 - 14 years,Both sexes,276.6
502,1956,10 - 14 years,Male,140.3
503,1956,10 - 14 years,Female,136.3
504,1956,15 - 19 years,Both sexes,232.1
505,1956,15 - 19 years,Male,120.8
506,1956,15 - 19 years,Female,111.3
507,1956,15 - 24 years,Both sexes,411.2
508,1956,15 - 24 years,Male,212.4
509,1956,15 - 24 years,Female,198.8
510,1956,15 years and over,Both sexes,2027.7
511,1956,15 years and over,Male,1019.9
512,1956,15 years and over,Female,1007.8
513,1956,20 - 24 years,Both sexes,179.1
514,1956,20 - 24 years,Male,91.6
515,1956,20 - 24 years,Female,87.5
516,1956,25 - 29 years,Both sexes,169.8
517,1956,25 - 29 years,Male,84.0
518,1956,25 - 29 years,Female,85.8
519,1956,25 - 44 years,Both sexes,711.6
520,1956,25 - 44 years,Male,353.4
521,1956,25 - 44 years,Female,358.2
522,1956,30 - 34 years,Both sexes,175.2
523,1956,30 - 34 years,Male,86.3
524,1956,30 - 34 years,Female,88.9
525,1956,35 - 39 years,Both sexes,181.9
526,1956,35 - 39 years,Male,89.1
527,1956,35 - 39 years,Female,92.8
528,1956,40 - 44 years,Both sexes,184.7
529,1956,40 - 44 years,Male,94.0
530,1956,40 - 44 years,Female,90.7
531,1956,45 - 49 years,Both sexes,172.4
532,1956,45 - 49 years,Male,88.7
533,1956,45 - 49 years,Female,83.7
534,1956,45 - 64 years,Both sexes,588.3
535,1956,45 - 64 years,Male,299.0
536,1956,45 - 64 years,Female,289.3
537,1956,50 - 54 years,Both sexes,147.2
538,1956,50 - 54 years,Male,75.8
539,1956,50 - 54 years,Female,71.4
540,1956,55 - 59 years,Both sexes,151.8
541,1956,55 - 59 years,Male,76.7
542,1956,55 - 59 years,Female,75.1
543,1956,60 - 64 years,Both sexes,116.9
544,1956,60 - 64 years,Male,57.8
545,1956,60 - 64 years,Female,59.1
546,1956,65 - 69 years,Both sexes,108.9
547,1956,65 - 69 years,Male,55.2
548,1956,65 - 69 years,Female,53.7
549,1956,65 years and over,Both sexes,316.6
550,1956,65 years and over,Male,155.1
551,1956,65 years and over,Female,161.5
552,1956,70 - 74 years,Both sexes,93.0
