,year,sex,0 - 14 years,1 - 4 years,15 - 24 years,15 years and over,25 - 44 years,45 - 64 years,65 years and over,All ages,Under 1 year
184,2011,Female,476.8,138.5,287.3,1827.6,730.8,519.5,290.0,2304.4,35.6
185,2011,Male,499.9,145.1,292.3,1770.6,717.8,518.9,241.6,2270.5,36.9
186,2012,Both sexes,988.0,285.5,566.6,3605.7,1435.3,1053.8,550.1,4593.7,72.7
187,2012,Female,482.6,140.0,280.7,1836.0,728.4,528.6,298.4,2318.7,35.4
188,2012,Male,505.4,145.5,285.8,1769.6,707.0,525.2,251.7,2275.0,37.0
189,2013,Both sexes,993.9,284.4,563.3,3620.8,1421.1,1067.2,569.2,4614.7,68.6
190,2013,Female,486.2,139.5,277.3,1842.4,722.1,535.5,307.5,2328.5,33.5
191,2013,Male,507.8,144.9,286.0,1778.4,699.0,531.7,261.7,2286.1,35.0
192,2014,Both sexes,997.5,278.4,567.2,3647.9,1407.3,1083.9,589.5,4645.4,66.9
193,2014,Female,487.9,136.7,278.7,1858.5,718.5,544.3,317.0,2346.4,32.6
194,2014,Male,509.6,141.7,288.5,1789.5,688.8,539.6,272.5,2299.0,34.0
195,2015,Both sexes,1001.7,273.8,571.6,3686.1,1400.6,1103.6,610.3,4687.8,64.2
196,2015,Female,490.0,134.2,279.7,1880.1,718.1,554.9,327.4,2370.1,31.4
197,2015,Male,511.8,139.6,291.9,1806.0,682.5,548.7,282.8,2317.7,33.0
198,2016,Both sexes,1005.5,269.2,574.7,3734.1,1401.5,1128.0,629.8,4739.6,62.2
199,2016,Female,491.3,131.4,281.9,1901.7,716.1,567.0,336.6,2393.1,30.4
200,2016,Male,514.2,137.8,292.8,1832.4,685.4,561.0,293.2,2346.5,32.0
201,2017,Both sexes,1010.4,261.5,587.0,3800.5,1403.3,1157.9,652.4,4810.9,63.5
202,2017,Female,494.0,127.8,288.0,1936.1,717.5,583.0,347.6,2430.1,31.0
203,2017,Male,516.4,133.7,299.0,1864.4,685.7,574.9,304.8,2380.8,32.4
204,2018,Both sexes,1014.4,258.3,609.3,3870.5,1402.8,1182.0,676.4,4884.9,61.7
205,2018,Female,495.1,126.1,298.8,1970.3,716.9,595.2,359.4,2465.4,30.0
206,2018,Male,519.3,132.2,310.4,1900.2,685.9,586.9,317.0,2419.5,31.7
207,2019,Both sexes,1015.5,254.6,623.8,3942.9,1406.0,1211.7,701.4,4958.5,60.4
208,2019,Female,494.7,124.1,306.9,2007.5,717.9,610.3,372.3,2502.2,29.6
209,2019,Male,520.8,130.5,316.9,1935.5,688.1,601.4,329.1,2456.3,30.8
210,2020,Both sexes,1013.7,250.5,637.9,4016.2,1412.0,1240.2,726.1,5029.9,58.2
211,2020,Female,493.7,121.6,313.1,2044.4,721.1,626.0,384.2,2538.1,28.3
212,2020,Male,519.9,128.9,324.8,1971.8,690.9,614.2,341.9,2491.8,29.8
213,2021,Both sexes,1007.6,245.0,640.4,4067.1,1411.9,1267.4,747.4,5074.7,55.9
214,2021,Female,491.9,119.3,314.4,2068.7,721.6,637.8,395.0,2560.6,27.4
215,2021,Male,515.7,125.7,325.9,1998.3,690.4,629.6,352.5,2514.0,28.4
216,2022,Both sexes,1014.3,238.2,649.7,4169.7,1434.2,1304.5,781.3,5184.0,57.7
217,2022,Female,495.3,116.1,319.1,2126.7,737.3,657.3,413.1,2622.0,28.1
218,2022,Male,519.0,122.0,330.6,2043.0,696.9,647.2,368.2,2562.0,29.5
219,2023,Both sexes,1011.6,238.1,667.2,4270.0,1457.7,1338.7,806.3,5281.6,55.7
220,2023,Female,495.1,116.3,327.2,2180.3,749.6,677.2,426.4,2675.4,28.3
221,2023,Male,516.5,121.8,340.0,2089.6,708.2,661.5,379.9,2606.2,27.4
