year,0 - 14 years_emigrants,15 - 24 years_emigrants,25 - 44 years_emigrants,45 - 64 years_emigrants,65 years and over_emigrants,All ages_emigrants,0 - 14 years_immigrants,15 - 24 years_immigrants,25 - 44 years_immigrants,45 - 64 years_immigrants,65 years and over_immigrants,All ages_immigrants,0 - 14 years_migration,15 - 24 years_migration,25 - 44 years_migration,45 - 64 years_migration,65 years and over_migration,All ages_migration
2014,20.4,43.6,74.8,6.6,4.5,149.9,13.0,43.6,63.2,6.4,6.8,133.0,-7.3,0.0,-11.7,-0.19999999999999996,2.2,-16.9
2015,22.9,34.5,70.9,8.6,3.0,139.9,19.6,36.7,80.0,8.3,7.2,151.8,-3.2,2.2,9.0,-0.39999999999999997,4.2,11.8
2016,20.4,36.6,62.6,9.2,3.4,132.3,19.8,36.4,89.4,14.2,4.8,164.7,-0.6000000000000001,-0.20000000000000018,27.0,5.0,1.4,32.3
2017,12.0,29.7,62.5,5.6,2.4,112.2,20.8,39.0,98.4,23.1,9.2,190.6,8.9,9.299999999999999,36.0,17.4,6.8,78.3
2018,10.5,23.6,53.4,13.1,2.9,103.2,23.2,49.3,91.1,19.0,9.3,192.0,12.8,25.9,37.8,5.9,6.5,88.8
2019,10.7,34.4,51.7,6.9,2.7,106.2,22.2,44.4,97.7,21.6,8.5,194.2,11.4,10.2,46.0,14.8,5.6,88.0
2020,13.299999999999999,30.8,52.0,4.9,0.9,101.8,21.2,44.0,102.0,18.6,5.300000000000001,191.2,8.0,13.3,50.0,13.8,4.5,89.4
2021,9.4,38.2,39.6,11.2,6.4,104.6,15.0,27.4,78.7,20.7,6.300000000000001,148.2,5.6,-10.7,39.2,9.6,0.0,43.6
2022,6.8,42.1,43.1,14.8,5.2,112.2,32.8,41.8,107.5,25.4,8.2,215.6,26.0,-0.30000000000000004,64.4,10.6,2.8,103.4
2023,11.0,39.7,64.69999999999999,10.5,2.0,127.9,43.7,47.5,150.1,33.8,8.0,283.2,32.7,7.8,85.4,23.4,5.9,155.4
