year,gender,0 - 14 years,0 - 4 years,10 - 14 years,15 - 19 years,15 - 24 years,15 years and over,20 - 24 years,25 - 29 years,25 - 44 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,45 - 64 years,5 - 9 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,65 years and over,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over,All ages
1983,Male,535.0,176.4,178.0,169.0,311.9,1221.3,142.9,127.0,445.2,120.6,106.7,90.9,80.3,296.6,180.6,75.7,72.6,68.0,63.4,167.6,49.7,30.7,15.8,8.0,1756.3
1984,Both sexes,1040.6,338.5,349.1,332.0,616.6,2488.4,284.6,255.5,895.4,240.3,216.8,182.8,159.0,595.7,353.0,149.6,146.4,140.7,132.2,380.7,108.6,73.1,42.2,24.6,3529.0
1984,Female,506.8,164.8,170.0,162.0,302.8,1255.2,140.8,127.3,441.7,118.7,106.5,89.2,77.6,298.3,172.0,73.8,74.2,72.7,69.4,212.4,58.4,41.7,26.3,16.6,1762.0
1984,Male,533.8,173.7,179.1,170.0,313.8,1233.2,143.8,128.2,453.7,121.6,110.3,93.6,81.4,297.4,181.0,75.8,72.2,68.0,62.8,168.3,50.2,31.4,15.9,8.0,1767.0
1985,Both sexes,1034.3,331.8,350.1,332.0,618.0,2505.7,286.0,257.4,910.4,241.9,223.6,187.5,160.6,594.5,352.4,148.8,144.5,140.6,131.0,382.8,109.9,74.3,42.6,25.0,3540.0
1985,Female,503.8,161.5,170.6,161.8,303.6,1265.2,141.8,128.5,449.9,119.8,110.0,91.6,78.4,297.5,171.7,73.2,73.0,72.9,69.0,214.2,59.3,42.3,26.6,17.0,1769.0
1985,Male,530.5,170.3,179.5,170.2,314.4,1240.5,144.2,128.9,460.5,122.1,113.6,95.9,82.2,297.0,180.7,75.6,71.5,67.7,62.0,168.6,50.6,32.0,16.0,8.0,1771.0
1986,Both sexes,1024.7,324.1,350.0,331.1,617.5,2515.9,286.4,258.4,922.6,242.7,229.7,191.8,161.7,591.4,350.7,147.5,142.2,140.0,129.5,384.4,111.0,75.5,42.9,25.5,3540.6
1986,Female,499.1,157.7,170.6,161.2,303.5,1271.9,142.3,129.4,457.0,120.5,113.3,93.8,79.0,295.8,170.8,72.4,71.7,72.8,68.4,215.6,60.1,42.9,26.8,17.4,1771.0
1986,Male,525.6,166.4,179.4,169.9,314.0,1244.0,144.1,129.1,465.7,122.2,116.4,98.0,82.8,295.7,179.8,75.2,70.5,67.2,61.1,168.7,50.9,32.6,16.1,8.0,1769.7
1987,Both sexes,1014.4,315.3,347.1,329.4,615.8,2532.1,286.4,256.1,936.0,245.4,231.7,202.8,161.9,592.1,352.0,150.8,140.1,139.3,129.1,388.2,111.1,78.0,43.7,26.3,3546.5
1987,Female,493.9,153.3,169.0,161.2,302.8,1282.3,141.6,128.8,465.2,122.4,114.5,99.5,78.8,295.8,171.6,74.1,70.3,72.6,68.3,218.5,60.7,44.1,27.3,18.1,1776.2
1987,Male,520.5,162.0,178.1,168.1,313.0,1249.6,144.9,127.3,470.7,123.0,117.1,103.3,83.1,296.2,180.4,76.7,69.8,66.6,60.8,169.7,50.4,33.9,16.4,8.2,1770.3
1988,Both sexes,993.9,303.6,340.9,330.0,608.8,2536.9,278.8,251.0,939.3,243.6,235.5,209.2,168.2,595.6,349.3,149.3,141.9,136.2,132.9,393.2,107.7,81.6,43.9,27.1,3530.7
1988,Female,484.1,147.7,166.0,162.5,299.9,1287.8,137.4,127.2,468.8,122.2,116.6,102.8,82.2,297.3,170.4,73.3,70.9,70.9,70.6,221.8,58.9,46.2,27.4,18.7,1771.9
1988,Male,509.7,155.9,174.9,167.5,308.9,1249.0,141.4,123.7,470.3,121.4,118.9,106.3,86.0,298.3,178.9,76.1,70.9,65.3,62.3,171.5,48.8,35.4,16.5,8.5,1758.8
1989,Both sexes,973.5,292.2,339.6,327.2,597.6,2536.0,270.4,246.5,941.2,242.1,236.3,216.3,172.1,599.8,341.6,151.0,141.3,135.4,133.3,397.4,107.5,83.3,45.3,28.0,3509.5
1989,Female,474.0,142.4,165.6,161.8,294.4,1291.5,132.6,126.0,472.6,122.8,117.0,106.8,84.4,299.6,166.0,74.4,70.4,70.4,71.0,224.9,58.8,47.5,28.2,19.4,1765.5
1989,Male,499.4,149.8,174.0,165.4,303.2,1244.6,137.8,120.5,468.5,119.3,119.2,109.5,87.7,300.2,175.6,76.6,70.9,65.0,62.4,172.7,48.7,35.8,17.2,8.6,1744.1
1990,Both sexes,954.6,282.2,343.7,328.3,594.1,2551.3,265.8,246.1,949.1,243.2,237.9,221.9,177.8,608.1,328.7,154.4,141.5,134.4,132.3,400.0,107.8,84.5,47.1,28.3,3505.8
1990,Female,464.8,137.9,167.2,161.0,291.0,1298.2,130.0,125.7,477.3,123.5,118.2,109.9,87.1,303.2,159.7,76.2,70.4,69.5,70.4,226.7,59.0,48.5,29.1,19.7,1763.1
1990,Male,489.7,144.3,176.4,167.3,303.1,1253.0,135.8,120.4,471.8,119.7,119.7,112.0,90.6,304.8,169.0,78.2,71.1,64.9,61.9,173.3,48.9,35.9,18.0,8.6,1742.8
