Unnamed: 0,year,0 - 14 years,15 - 24 years,15 years and over,25 - 44 years,45 - 64 years,65 years and over,All ages,sex_Both sexes,sex_Female,sex_Male
151,2000,402.9,315.0,1503.7,556.2,391.1,241.5,1906.6,0,1,0
152,2000,425.2,326.3,1457.8,551.4,396.9,183.2,1882.9,0,0,1
153,2001,827.5,638.0,3019.7,1142.1,809.7,429.8,3847.2,1,0,0
154,2001,402.6,313.2,1531.5,572.6,401.9,243.8,1934.1,0,1,0
155,2001,424.9,324.8,1488.2,569.5,407.8,186.0,1913.1,0,0,1
156,2002,827.4,641.5,3089.8,1180.3,832.0,436.0,3917.2,1,0,0
157,2002,403.4,315.8,1567.7,592.0,413.1,246.8,1971.0,0,1,0
158,2002,424.0,325.7,1522.2,588.3,419.0,189.2,1946.2,0,0,1
159,2003,834.7,638.7,3145.2,1209.1,855.5,441.9,3979.9,1,0,0
160,2003,407.1,315.8,1596.0,606.0,424.6,249.6,2002.9,0,1,0
161,2003,427.6,322.9,1549.3,603.1,430.9,192.4,1976.9,0,0,1
162,2004,843.8,634.5,3201.4,1240.0,877.2,449.7,4045.2,1,0,0
163,2004,411.2,313.6,1622.1,620.5,435.2,252.9,2033.3,0,1,0
164,2004,432.7,320.9,1579.3,619.6,442.0,196.8,2011.9,0,0,1
165,2005,853.5,632.2,3280.4,1287.2,902.0,458.9,4133.8,1,0,0
166,2005,415.6,312.5,1656.7,639.6,447.6,257.0,2072.0,0,1,0
167,2005,438.0,319.8,1623.8,647.7,454.4,201.9,2061.8,0,0,1
168,2006,865.1,638.4,3367.9,1343.3,923.8,462.4,4232.9,1,0,0
169,2006,421.6,314.2,1694.0,663.6,458.4,257.8,2115.6,0,1,0
170,2006,443.5,324.2,1673.8,679.7,465.4,204.5,2117.3,0,0,1
171,2007,884.2,663.1,3491.7,1404.5,953.0,471.0,4375.8,1,0,0
172,2007,431.0,328.0,1753.6,691.2,473.1,261.2,2184.6,0,1,0
173,2007,453.2,335.1,1738.1,713.3,479.9,209.8,2191.3,0,0,1
174,2008,913.4,669.2,3571.9,1439.9,978.8,483.7,4485.1,1,0,0
175,2008,445.9,333.1,1800.6,713.3,486.6,267.6,2246.5,0,1,0
176,2008,467.5,336.1,1771.1,726.6,492.2,216.2,2238.6,0,0,1
177,2009,936.4,648.7,3597.0,1448.1,1001.3,498.9,4533.4,1,0,0
178,2009,457.2,324.8,1818.9,721.8,498.2,274.1,2276.1,0,1,0
179,2009,479.2,323.9,1778.1,726.3,503.2,224.8,2257.3,0,0,1
180,2010,957.7,615.7,3596.9,1444.3,1021.9,515.1,4554.8,1,0,0
181,2010,467.2,307.9,1825.4,725.2,510.5,281.7,2292.6,0,1,0
182,2010,490.5,307.8,1771.7,719.1,511.4,233.4,2262.2,0,0,1
183,2011,976.7,579.6,3598.2,1448.7,1038.3,531.6,4574.9,1,0,0
184,2011,476.8,287.3,1827.6,730.8,519.5,290.0,2304.4,0,1,0
185,2011,499.9,292.3,1770.6,717.8,518.9,241.6,2270.5,0,0,1
186,2012,988.0,566.6,3605.7,1435.3,1053.8,550.1,4593.7,1,0,0
187,2012,482.6,280.7,1836.0,728.4,528.6,298.4,2318.7,0,1,0
188,2012,505.4,285.8,1769.6,707.0,525.2,251.7,2275.0,0,0,1
189,2013,993.9,563.3,3620.8,1421.1,1067.2,569.2,4614.7,1,0,0
190,2013,486.2,277.3,1842.4,722.1,535.5,307.5,2328.5,0,1,0
191,2013,507.8,286.0,1778.4,699.0,531.7,261.7,2286.1,0,0,1
192,2014,997.5,567.2,3647.9,1407.3,1083.9,589.5,4645.4,1,0,0
193,2014,487.9,278.7,1858.5,718.5,544.3,317.0,2346.4,0,1,0
194,2014,509.6,288.5,1789.5,688.8,539.6,272.5,2299.0,0,0,1
195,2015,1001.7,571.6,3686.1,1400.6,1103.6,610.3,4687.8,1,0,0
196,2015,490.0,279.7,1880.1,718.1,554.9,327.4,2370.1,0,1,0
197,2015,511.8,291.9,1806.0,682.5,548.7,282.8,2317.7,0,0,1
198,2016,1005.5,574.7,3734.1,1401.5,1128.0,629.8,4739.6,1,0,0
199,2016,491.3,281.9,1901.7,716.1,567.0,336.6,2393.1,0,1,0
200,2016,514.2,292.8,1832.4,685.4,561.0,293.2,2346.5,0,0,1
201,2017,1010.4,587.0,3800.5,1403.3,1157.9,652.4,4810.9,1,0,0
202,2017,494.0,288.0,1936.1,717.5,583.0,347.6,2430.1,0,1,0
203,2017,516.4,299.0,1864.4,685.7,574.9,304.8,2380.8,0,0,1
204,2018,1014.4,609.3,3870.5,1402.8,1182.0,676.4,4884.9,1,0,0
205,2018,495.1,298.8,1970.3,716.9,595.2,359.4,2465.4,0,1,0
206,2018,519.3,310.4,1900.2,685.9,586.9,317.0,2419.5,0,0,1
207,2019,1015.5,623.8,3942.9,1406.0,1211.7,701.4,4958.5,1,0,0
208,2019,494.7,306.9,2007.5,717.9,610.3,372.3,2502.2,0,1,0
209,2019,520.8,316.9,1935.5,688.1,601.4,329.1,2456.3,0,0,1
210,2020,1013.7,637.9,4016.2,1412.0,1240.2,726.1,5029.9,1,0,0
211,2020,493.7,313.1,2044.4,721.1,626.0,384.2,2538.1,0,1,0
212,2020,519.9,324.8,1971.8,690.9,614.2,341.9,2491.8,0,0,1
213,2021,1007.6,640.4,4067.1,1411.9,1267.4,747.4,5074.7,1,0,0
214,2021,491.9,314.4,2068.7,721.6,637.8,395.0,2560.6,0,1,0
215,2021,515.7,325.9,1998.3,690.4,629.6,352.5,2514.0,0,0,1
216,2022,1014.3,649.7,4169.7,1434.2,1304.5,781.3,5184.0,1,0,0
217,2022,495.3,319.1,2126.7,737.3,657.3,413.1,2622.0,0,1,0
218,2022,519.0,330.6,2043.0,696.9,647.2,368.2,2562.0,0,0,1
219,2023,1011.6,667.2,4270.0,1457.7,1338.7,806.3,5281.6,1,0,0
220,2023,495.1,327.2,2180.3,749.6,677.2,426.4,2675.4,0,1,0
221,2023,516.5,340.0,2089.6,708.2,661.5,379.9,2606.2,0,0,1
