,year,sex,age_group,Border,Dublin,Mid-East,Mid-West,Midland,South-East,South-West,State,West
174,2014,Both sexes,20 - 24 years,20.4,88.4,34.9,28.1,16.3,21.7,41.3,276.6,25.7
175,2014,Both sexes,25 - 29 years,22.1,110.4,38.3,27.3,17.5,24.4,41.4,305.9,24.4
176,2014,Both sexes,30 - 34 years,28.0,127.2,53.2,34.9,22.4,30.5,53.4,382.5,32.9
177,2014,Both sexes,35 - 39 years,28.8,110.5,56.4,35.3,22.2,31.7,53.9,371.6,32.8
178,2014,Both sexes,40 - 44 years,28.0,94.9,54.9,34.7,21.5,30.9,50.5,347.4,32.0
179,2014,Both sexes,45 - 49 years,26.7,80.2,48.3,32.3,19.9,28.9,46.2,312.6,30.1
180,2014,Both sexes,5 - 9 years,29.9,85.4,56.8,34.7,23.4,31.2,48.7,342.1,32.1
181,2014,Both sexes,50 - 54 years,24.9,75.4,41.9,30.2,17.9,27.0,43.5,289.2,28.4
182,2014,Both sexes,55 - 59 years,22.6,65.2,35.3,27.6,15.8,23.7,38.7,255.7,26.8
183,2014,Both sexes,60 - 64 years,20.8,57.5,30.1,25.0,13.8,21.1,34.4,226.4,23.8
184,2014,Both sexes,65 - 69 years,18.4,49.2,25.9,22.2,11.9,18.6,30.5,197.2,20.5
185,2014,Both sexes,70 - 74 years,13.4,37.2,18.1,16.0,8.5,14.1,22.3,144.4,14.9
186,2014,Both sexes,75 - 79 years,10.2,29.3,12.3,12.1,6.6,10.4,16.8,109.1,11.3
187,2014,Both sexes,80 - 84 years,7.4,20.7,7.9,8.4,4.5,7.0,11.9,76.1,8.3
188,2014,Both sexes,85 years and over,6.5,16.6,6.9,6.6,3.6,5.6,9.4,62.7,7.4
189,2014,Both sexes,All ages,392.0,1286.4,671.4,471.8,289.8,413.5,679.5,4645.4,441.1
190,2014,Female,0 - 4 years,14.3,45.1,28.1,16.3,11.4,14.7,23.8,169.3,15.5
191,2014,Female,10 - 14 years,13.8,36.2,24.6,15.9,10.6,14.5,21.4,151.6,14.7
192,2014,Female,15 - 19 years,13.0,35.1,21.0,15.2,9.6,13.0,21.0,141.4,13.6
193,2014,Female,20 - 24 years,10.6,43.8,17.7,13.7,8.4,10.7,19.8,137.3,12.6
194,2014,Female,25 - 29 years,11.0,57.8,20.1,14.0,9.2,12.7,21.8,158.7,12.1
195,2014,Female,30 - 34 years,14.3,65.7,27.7,17.8,11.6,15.7,27.6,197.6,17.1
196,2014,Female,35 - 39 years,14.4,55.9,29.0,17.7,11.2,16.1,27.1,187.8,16.5
197,2014,Female,40 - 44 years,13.9,47.9,27.6,17.5,10.8,15.5,25.2,174.4,16.1
198,2014,Female,45 - 49 years,13.2,41.0,24.1,16.1,9.8,14.4,23.0,156.5,14.9
199,2014,Female,5 - 9 years,14.4,41.7,27.8,17.0,11.4,15.1,24.0,167.0,15.7
200,2014,Female,50 - 54 years,12.5,38.8,21.1,15.1,8.8,13.6,21.7,145.8,14.2
201,2014,Female,55 - 59 years,11.3,33.9,17.7,13.7,7.7,11.7,19.3,128.5,13.3
202,2014,Female,60 - 64 years,10.2,29.8,15.1,12.3,6.7,10.4,17.2,113.4,11.8
203,2014,Female,65 - 69 years,8.9,25.7,12.9,11.1,5.9,9.3,15.1,98.7,9.8
204,2014,Female,70 - 74 years,6.5,20.0,9.1,8.1,4.3,7.0,11.5,74.0,7.4
205,2014,Female,75 - 79 years,5.3,16.6,6.5,6.3,3.4,5.5,8.9,58.4,5.8
206,2014,Female,80 - 84 years,4.0,12.5,4.5,4.7,2.5,3.9,6.9,43.5,4.5
207,2014,Female,85 years and over,4.3,11.4,4.7,4.5,2.4,3.7,6.5,42.4,5.0
208,2014,Female,All ages,196.1,658.7,339.1,236.9,145.6,207.6,341.6,2346.4,220.7
209,2014,Male,0 - 4 years,15.0,46.5,28.6,16.9,11.9,15.6,25.2,176.0,16.4
210,2014,Male,10 - 14 years,14.3,37.9,26.0,16.1,10.9,15.1,22.9,158.4,15.3
211,2014,Male,15 - 19 years,13.6,37.6,22.1,15.9,9.7,13.7,22.2,149.1,14.4
212,2014,Male,20 - 24 years,9.8,44.6,17.2,14.3,7.9,11.0,21.5,139.4,13.1
213,2014,Male,25 - 29 years,11.1,52.6,18.2,13.3,8.4,11.7,19.6,147.2,12.2
214,2014,Male,30 - 34 years,13.7,61.5,25.4,17.0,10.8,14.9,25.8,184.9,15.7
215,2014,Male,35 - 39 years,14.4,54.6,27.5,17.6,11.0,15.6,26.8,183.8,16.3
216,2014,Male,40 - 44 years,14.0,47.0,27.3,17.3,10.7,15.4,25.3,172.9,15.9
217,2014,Male,45 - 49 years,13.4,39.2,24.2,16.2,10.1,14.5,23.2,156.1,15.2
218,2014,Male,5 - 9 years,15.4,43.7,29.0,17.7,12.0,16.0,24.7,175.1,16.4
219,2014,Male,50 - 54 years,12.4,36.6,20.8,15.1,9.1,13.4,21.8,143.4,14.2
220,2014,Male,55 - 59 years,11.3,31.3,17.6,13.9,8.1,12.0,19.4,127.2,13.5
221,2014,Male,60 - 64 years,10.6,27.7,15.0,12.7,7.0,10.6,17.3,112.9,12.0
222,2014,Male,65 - 69 years,9.5,23.5,13.0,11.1,6.0,9.3,15.4,98.5,10.7
223,2014,Male,70 - 74 years,6.9,17.2,9.0,7.9,4.2,7.0,10.8,70.4,7.5
224,2014,Male,75 - 79 years,4.9,12.7,5.8,5.8,3.1,4.9,7.9,50.7,5.6
225,2014,Male,80 - 84 years,3.3,8.2,3.4,3.7,2.0,3.1,5.1,32.6,3.7
226,2014,Male,85 years and over,2.2,5.2,2.2,2.1,1.2,1.9,3.0,20.3,2.4
227,2014,Male,All ages,195.9,627.7,332.2,234.8,144.3,205.9,337.8,2299.0,220.4
228,2015,Both sexes,0 - 4 years,28.5,92.0,55.0,32.3,22.5,29.8,46.7,337.9,31.1
229,2015,Both sexes,10 - 14 years,28.3,76.5,51.6,32.1,21.7,29.9,44.2,314.4,30.2
230,2015,Both sexes,15 - 19 years,26.9,74.9,44.3,31.6,19.4,27.5,43.1,296.1,28.3
231,2015,Both sexes,20 - 24 years,20.4,90.8,35.3,27.7,15.5,21.5,39.5,275.5,24.8
232,2015,Both sexes,25 - 29 years,20.5,110.4,37.6,26.3,17.0,23.1,39.8,298.7,23.9
233,2015,Both sexes,30 - 34 years,26.7,124.6,50.9,33.3,21.9,29.0,51.2,369.2,31.5
234,2015,Both sexes,35 - 39 years,28.7,115.7,57.2,35.6,22.8,31.9,54.3,379.8,33.5
235,2015,Both sexes,40 - 44 years,27.8,97.8,56.1,35.0,21.7,31.0,51.0,353.0,32.5
236,2015,Both sexes,45 - 49 years,26.9,82.4,49.0,32.6,20.2,29.1,46.8,317.0,30.1
237,2015,Both sexes,5 - 9 years,30.5,88.8,57.9,35.1,23.7,31.7,49.3,349.3,32.3
238,2015,Both sexes,50 - 54 years,25.3,77.0,43.4,30.8,18.3,27.6,44.4,295.2,28.5
239,2015,Both sexes,55 - 59 years,23.0,67.2,35.9,27.9,16.1,24.2,39.4,260.6,26.8
240,2015,Both sexes,60 - 64 years,21.1,58.5,30.9,25.4,14.0,21.5,35.2,230.8,24.3
241,2015,Both sexes,65 - 69 years,18.9,50.9,26.7,22.9,12.3,19.3,31.2,203.6,21.3
242,2015,Both sexes,70 - 74 years,14.0,38.4,19.3,16.8,9.0,14.7,23.2,150.8,15.5
243,2015,Both sexes,75 - 79 years,10.3,30.3,12.8,12.5,6.7,10.7,17.4,112.2,11.6
244,2015,Both sexes,80 - 84 years,7.5,21.6,8.3,8.6,4.7,7.3,12.3,78.8,8.5
245,2015,Both sexes,85 years and over,6.6,17.5,7.1,6.8,3.7,5.8,9.9,64.9,7.6
246,2015,Both sexes,All ages,391.9,1315.3,679.3,473.4,291.1,415.6,678.9,4687.8,442.2
247,2015,Female,0 - 4 years,13.9,45.2,27.0,16.0,11.0,14.4,22.9,165.6,15.1
248,2015,Female,10 - 14 years,13.7,37.3,25.0,15.9,10.7,14.6,21.5,153.6,14.8
249,2015,Female,15 - 19 years,13.1,36.4,21.5,15.4,9.6,13.4,21.2,144.1,13.7
250,2015,Female,20 - 24 years,10.2,45.3,17.6,13.4,7.5,10.3,19.5,135.6,11.8
251,2015,Female,25 - 29 years,10.5,57.3,19.8,13.7,8.9,12.2,20.7,155.0,11.9
252,2015,Female,30 - 34 years,13.9,64.2,26.9,17.3,11.5,15.2,26.9,192.2,16.4
