year,sex,0 - 4 years,5 - 9 years,10 - 14 years,15 - 19 years,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over
1975,Female,161.3,163.1,155.4,143.0,117.8,101.2,90.4,80.1,77.3,78.1,78.1,77.5,68.1,62.9,53.8,36.8,21.9,13.5
1975,Male,169.5,170.9,162.5,149.4,122.8,104.3,94.1,83.6,79.4,79.1,78.3,77.7,68.3,59.7,45.3,28.6,15.4,8.1
1976,Both sexes,334.5,338.1,322.8,298.7,247.1,214.0,193.3,167.5,157.6,156.3,155.6,155.1,136.9,125.5,99.1,66.3,37.5,21.8
1976,Female,163.1,165.0,157.6,146.0,121.0,105.3,94.6,81.8,77.5,77.4,77.8,77.7,68.6,64.4,53.6,37.6,22.2,13.7
1976,Male,171.4,173.1,165.2,152.7,126.1,108.7,98.7,85.7,80.1,78.9,77.8,77.4,68.3,61.1,45.5,28.7,15.3,8.1
1977,Both sexes,337.4,341.6,327.0,304.6,253.2,222.3,201.9,171.0,158.1,154.9,154.3,154.8,137.1,128.1,98.8,67.1,37.7,22.0
1977,Female,164.6,166.7,159.6,148.9,124.0,109.4,98.7,83.4,77.5,76.4,77.2,77.8,69.0,65.8,53.3,38.2,22.5,13.9
1977,Male,172.8,174.9,167.4,155.7,129.2,112.9,103.2,87.6,80.6,78.5,77.1,77.0,68.1,62.3,45.5,28.9,15.2,8.1
1978,Both sexes,340.1,344.9,331.1,310.3,259.2,230.5,210.4,174.4,158.6,153.5,152.9,154.2,137.1,130.7,98.4,67.9,37.8,22.1
1978,Female,166.0,168.3,161.5,151.7,127.1,113.5,102.8,84.9,77.5,75.4,76.6,77.8,69.3,67.1,53.0,39.0,22.8,14.0
1978,Male,174.1,176.6,169.6,158.5,132.2,117.1,107.6,89.5,81.0,78.1,76.2,76.4,67.8,63.5,45.6,29.0,15.0,8.1
1979,Both sexes,343.5,350.1,336.3,317.4,266.3,239.4,220.1,178.5,159.4,152.4,151.7,154.1,137.7,133.8,98.3,68.9,38.0,22.5
1979,Female,167.8,171.1,164.0,155.1,130.5,117.8,107.4,86.7,77.6,74.7,76.1,77.9,69.9,68.8,52.5,39.7,23.1,14.3
1979,Male,175.6,179.1,172.3,162.3,135.8,121.6,112.7,91.8,81.8,77.8,75.6,76.1,67.8,65.0,45.8,29.1,14.9,8.1
1980,Both sexes,347.8,349.4,338.3,321.4,270.8,242.4,225.7,185.8,162.4,152.0,150.5,151.7,138.3,133.7,100.6,68.6,39.2,22.7
1980,Female,169.7,170.5,164.7,157.2,132.9,119.6,110.3,90.5,79.0,74.3,75.1,77.0,70.5,69.1,53.5,39.4,24.0,14.7
1980,Male,178.1,178.9,173.6,164.3,137.9,122.8,115.3,95.4,83.4,77.7,75.4,74.6,67.8,64.6,47.0,29.1,15.1,8.0
1981,Both sexes,353.0,349.5,341.2,326.4,276.1,246.1,232.0,193.8,165.9,151.9,149.7,149.6,139.3,133.9,103.1,68.5,40.5,23.0
1981,Female,171.9,170.4,166.0,159.8,135.7,121.7,113.7,94.5,80.6,74.1,74.4,76.3,71.3,69.6,54.8,39.3,25.0,15.1
1981,Male,181.0,179.1,175.3,166.7,140.4,124.4,118.3,99.3,85.3,77.8,75.3,73.3,68.0,64.3,48.4,29.2,15.4,7.9
1982,Both sexes,349.2,351.5,344.7,329.1,279.7,249.8,235.3,201.9,171.8,154.5,149.9,148.8,140.0,133.7,105.2,70.2,41.1,23.6
1982,Female,170.1,171.3,167.7,160.9,137.8,123.8,115.6,98.7,83.6,75.4,74.3,75.8,71.9,69.7,56.1,40.2,25.5,15.6
1982,Male,179.1,180.2,177.0,168.2,141.9,126.0,119.7,103.2,88.2,79.1,75.6,73.0,68.1,64.0,49.1,30.0,15.6,8.0
1983,Both sexes,343.8,352.3,346.9,330.4,282.1,252.6,237.7,209.3,177.2,156.8,149.7,147.6,140.3,133.0,106.9,71.7,41.6,24.1
1983,Female,167.4,171.7,168.9,161.4,139.2,125.6,117.1,102.6,86.3,76.5,74.0,75.0,72.3,69.6,57.2,41.0,25.8,16.1
1983,Male,176.4,180.6,178.0,169.0,142.9,127.0,120.6,106.7,90.9,80.3,75.7,72.6,68.0,63.4,49.7,30.7,15.8,8.0
1984,Both sexes,338.5,353.0,349.1,332.0,284.6,255.5,240.3,216.8,182.8,159.0,149.6,146.4,140.7,132.2,108.6,73.1,42.2,24.6
1984,Female,164.8,172.0,170.0,162.0,140.8,127.3,118.7,106.5,89.2,77.6,73.8,74.2,72.7,69.4,58.4,41.7,26.3,16.6
1984,Male,173.7,181.0,179.1,170.0,143.8,128.2,121.6,110.3,93.6,81.4,75.8,72.2,68.0,62.8,50.2,31.4,15.9,8.0
1985,Both sexes,331.8,352.4,350.1,332.0,286.0,257.4,241.9,223.6,187.5,160.6,148.8,144.5,140.6,131.0,109.9,74.3,42.6,25.0
1985,Female,161.5,171.7,170.6,161.8,141.8,128.5,119.8,110.0,91.6,78.4,73.2,73.0,72.9,69.0,59.3,42.3,26.6,17.0
1985,Male,170.3,180.7,179.5,170.2,144.2,128.9,122.1,113.6,95.9,82.2,75.6,71.5,67.7,62.0,50.6,32.0,16.0,8.0
1986,Both sexes,324.1,350.7,350.0,331.1,286.4,258.4,242.7,229.7,191.8,161.7,147.5,142.2,140.0,129.5,111.0,75.5,42.9,25.5
1986,Female,157.7,170.8,170.6,161.2,142.3,129.4,120.5,113.3,93.8,79.0,72.4,71.7,72.8,68.4,60.1,42.9,26.8,17.4
1986,Male,166.4,179.8,179.4,169.9,144.1,129.1,122.2,116.4,98.0,82.8,75.2,70.5,67.2,61.1,50.9,32.6,16.1,8.0
1987,Both sexes,315.3,352.0,347.1,329.4,286.4,256.1,245.4,231.7,202.8,161.9,150.8,140.1,139.3,129.1,111.1,78.0,43.7,26.3
1987,Female,153.3,171.6,169.0,161.2,141.6,128.8,122.4,114.5,99.5,78.8,74.1,70.3,72.6,68.3,60.7,44.1,27.3,18.1
1987,Male,162.0,180.4,178.1,168.1,144.9,127.3,123.0,117.1,103.3,83.1,76.7,69.8,66.6,60.8,50.4,33.9,16.4,8.2
1988,Both sexes,303.6,349.3,340.9,330.0,278.8,251.0,243.6,235.5,209.2,168.2,149.3,141.9,136.2,132.9,107.7,81.6,43.9,27.1
1988,Female,147.7,170.4,166.0,162.5,137.4,127.2,122.2,116.6,102.8,82.2,73.3,70.9,70.9,70.6,58.9,46.2,27.4,18.7
1988,Male,155.9,178.9,174.9,167.5,141.4,123.7,121.4,118.9,106.3,86.0,76.1,70.9,65.3,62.3,48.8,35.4,16.5,8.5
1989,Both sexes,292.2,341.6,339.6,327.2,270.4,246.5,242.1,236.3,216.3,172.1,151.0,141.3,135.4,133.3,107.5,83.3,45.3,28.0
1989,Female,142.4,166.0,165.6,161.8,132.6,126.0,122.8,117.0,106.8,84.4,74.4,70.4,70.4,71.0,58.8,47.5,28.2,19.4
1989,Male,149.8,175.6,174.0,165.4,137.8,120.5,119.3,119.2,109.5,87.7,76.6,70.9,65.0,62.4,48.7,35.8,17.2,8.6
1990,Both sexes,282.2,328.7,343.7,328.3,265.8,246.1,243.2,237.9,221.9,177.8,154.4,141.5,134.4,132.3,107.8,84.5,47.1,28.3
1990,Female,137.9,159.7,167.2,161.0,130.0,125.7,123.5,118.2,109.9,87.1,76.2,70.4,69.5,70.4,59.0,48.5,29.1,19.7
1990,Male,144.3,169.0,176.4,167.3,135.8,120.4,119.7,119.7,112.0,90.6,78.2,71.1,64.9,61.9,48.9,35.9,18.0,8.6
1991,Both sexes,273.7,318.5,348.3,335.0,266.6,246.3,249.1,237.9,225.7,187.8,156.8,142.5,134.6,130.8,109.3,84.1,49.3,29.4
1991,Female,133.8,155.2,169.4,163.6,130.1,125.7,125.9,119.2,111.8,92.3,76.9,70.9,69.0,69.8,60.1,48.4,30.3,20.5
1991,Male,140.6,163.3,178.9,171.4,136.5,120.7,123.2,118.7,113.9,95.4,79.9,71.7,65.6,61.0,49.2,35.7,19.0,8.9
1992,Both sexes,269.5,310.7,350.7,333.3,276.9,247.1,253.5,241.5,228.6,199.0,158.6,144.8,134.6,130.2,110.3,83.6,51.6,30.1
1992,Female,131.3,151.1,170.4,162.5,134.7,126.0,127.9,121.6,113.6,97.7,77.6,72.1,68.4,69.7,60.7,48.3,31.5,21.1
1992,Male,138.2,159.6,180.3,170.7,142.3,121.1,125.6,120.0,114.9,101.3,81.0,72.8,66.2,60.6,49.6,35.3,20.1,9.0
1993,Both sexes,264.5,302.6,349.9,330.5,285.4,246.5,256.1,244.1,232.3,207.7,165.1,145.3,136.2,128.2,113.3,81.8,53.6,31.1
1993,Female,128.6,147.3,170.1,161.0,138.6,125.0,130.0,123.1,115.5,101.9,81.0,72.1,69.0,68.3,62.6,47.4,32.7,21.8
1993,Male,135.9,155.2,179.8,169.4,146.8,121.5,126.1,121.0,116.8,105.8,84.1,73.2,67.3,59.9,50.8,34.3,20.9,9.2
1994,Both sexes,260.3,293.4,344.9,331.0,290.1,247.3,257.8,247.4,234.0,215.8,170.6,147.9,136.7,126.9,113.9,81.7,54.6,31.5
1994,Female,126.2,143.0,167.2,161.8,141.2,124.2,131.9,124.8,116.5,106.3,83.7,73.6,68.9,67.4,62.9,47.5,33.5,22.2
1994,Male,134.1,150.5,177.8,169.2,148.9,123.1,125.9,122.6,117.5,109.5,86.9,74.4,67.9,59.5,51.0,34.3,21.1,9.3
1995,Both sexes,255.5,287.3,335.2,335.2,290.4,252.5,259.8,249.7,237.7,222.3,176.4,151.7,136.4,126.6,113.3,82.4,55.9,33.1
1995,Female,123.9,139.9,162.7,163.8,142.5,126.5,132.7,126.4,118.6,110.0,86.6,75.5,68.6,66.9,62.9,47.8,34.6,23.1
1995,Male,131.6,147.3,172.4,171.4,148.0,126.0,127.1,123.2,119.1,112.3,89.8,76.2,67.9,59.7,50.4,34.7,21.3,10.0
1996,Both sexes,250.4,282.9,326.1,339.5,293.4,259.0,260.9,255.7,240.4,225.4,186.6,153.8,137.9,126.8,112.5,84.1,55.8,34.7
1996,Female,121.6,137.6,158.7,165.6,144.2,129.7,133.2,129.5,120.4,111.6,91.8,76.0,69.3,66.6,62.4,48.9,34.7,24.1
